ID,Area,Perim.,Major,Minor,Circ.,Feret,MinFeret,AR,germination
1,115,42.042,14.855,9.857,0.818,16.401,10.748,1.507,0
2,146,45.698,17.622,10.549,0.879,18.439,11.314,1.671,0
3,168,60.184,18.28,11.701,0.583,19.849,13.582,1.562,0
4,167,50.527,19.013,11.183,0.822,19.849,12.021,1.7,0
5,174,50.77,19.699,11.246,0.848,20.125,12.021,1.752,0
7,125,42.527,15.759,10.099,0.869,16.553,10.976,1.56,0
8,159,50.042,17.449,11.602,0.798,19.235,11.0,1.504,0
9,149,44.627,16.792,11.298,0.94,17.464,11.0,1.486,0
10,126,43.456,15.418,10.405,0.838,16.279,11.0,1.482,0
11,144,46.284,17.411,10.53,0.845,18.439,12.021,1.653,0
12,131,43.698,16.078,10.374,0.862,17.088,11.18,1.55,0
13,197,60.527,21.493,11.67,0.676,23.707,13.0,1.842,0
15,175,51.598,18.291,12.182,0.826,18.385,13.313,1.501,0
16,166,53.355,20.012,10.561,0.733,20.518,12.728,1.895,0
17,175,51.941,19.335,11.524,0.815,19.723,12.895,1.678,0
18,166,50.77,17.616,11.998,0.809,18.028,13.0,1.468,0
19,147,45.113,16.461,11.371,0.908,17.205,12.021,1.448,0
20,165,49.941,17.646,11.905,0.831,18.358,12.728,1.482,0
21,182,53.698,19.316,11.997,0.793,20.125,13.282,1.61,0
22,179,53.012,20.202,11.282,0.8,20.809,12.021,1.791,0
23,182,51.698,18.943,12.233,0.856,19.698,13.0,1.549,0
24,187,53.698,20.556,11.583,0.815,21.932,12.522,1.775,0
25,134,44.87,16.477,10.355,0.836,17.263,11.0,1.591,0
26,176,52.527,20.033,11.186,0.802,20.248,12.075,1.791,0
27,151,48.042,17.183,11.189,0.822,18.028,12.0,1.536,0
28,151,48.527,17.2,11.178,0.806,18.974,12.442,1.539,0
29,140,46.527,16.982,10.497,0.813,18.439,11.314,1.618,0
30,170,49.698,19.131,11.314,0.865,19.313,12.075,1.691,0
31,159,50.042,17.937,11.287,0.798,18.248,11.571,1.589,0
32,106,41.556,13.19,10.232,0.771,15.0,10.0,1.289,0
33,137,43.456,15.889,10.979,0.912,17.029,11.314,1.447,0
34,152,47.113,17.711,10.927,0.861,18.028,11.8,1.621,0
35,133,44.042,15.554,10.887,0.862,17.029,11.926,1.429,0
36,157,48.77,18.557,10.772,0.829,18.974,11.6,1.723,0
